vid,appear
v1853,315
v1855,656
v1856,82
v1857,15
v1858,2661
v1859,2716
v1860,1653
v1862,69
v1863,988
v1864,56
v1865,682
v1868,6
v1869,58
v1870,2697
v1872,122
v1873,1103
v1874,542
v1875,527
v1876,79
v1878,1728
v1879,8
v1880,7
v1881,1082
v1883,42
v1884,25
v1888,408
v1889,104
v1891,2028
v1892,1
v1894,6410
v1895,1848
v1896,5566
v1897,69
v1898,3153
v1899,5055
v1900,7
v1901,48
v1902,67
v1903,9
v1904,1092
v1905,1589
v1906,154
v1907,828
v1909,302
v1910,1820
v1912,224
v1913,6257
v1914,1119
v1915,1376
v1916,296
v1917,3220
v1918,222
v1919,321
v1920,26
v1921,97
v1922,31
v1923,586
v1924,468
v1925,217
v1926,133
v1928,70
v1929,67
v1930,39
v1931,15
v1932,20
v1933,42
v1934,13
v1935,14
v1936,10
v1937,47
v1938,89
v1939,171
v1940,195
v1941,210
v1942,36
v1943,13
v1945,10
v1946,197
v1947,88
v1948,84
v1949,1348
v1950,221
v1951,1686
v1952,28
v1953,4203
v1954,26
v1956,31
v1959,3
v1960,540
v1961,275
v1963,584
v1964,117
v1965,17
v1966,203
v1967,4981
v1968,499
v1970,567
v1971,24
v1972,8
v1973,417
v1975,262
v1976,368
v1977,2454
v1981,3753
v1982,1499
v1983,150
v1984,27
v1987,1276
v1991,2
v1993,2183
v1994,5443
v1995,24
v1997,188
v1999,323
v2000,947
v2001,1973
v2002,9506
v2003,511
v2004,696
v2005,4
v2006,33
v2007,66
v2008,35
v2009,74
v2011,96
v2012,1
v2014,4
v2015,370
v2016,6549
v2021,2158
v2022,825
v2023,866
v2024,932
v2025,276
v2026,72
v2027,34
v2028,468
v2029,1622
v2030,118
v2031,1895
v2032,28
v2033,31
v2034,432
v2036,181
v2037,181
v2038,130
v2039,99
v2040,4463
v2042,35
v2043,3237
v2044,3147
v2045,4062
v2046,4347
v2047,5171
v2048,126
v2049,88
v2050,169
v2052,1075
v2054,40
v2055,685
v2056,599
v2057,765
v2058,2731
v2059,5
v2060,5
v2061,73
v2062,34
v2063,111
v2066,71
v2067,180
v2068,1102
v2069,2086
v2071,925
v2072,6
v2074,123
v2076,3668
v2077,1960
v2078,568
v2079,335
v2081,957
v2083,97
v2084,661
v2085,410
v2086,406
v2087,1315
v2088,1106
v2089,293
v2091,83
v2093,6038
v2096,185
v2097,2
v2098,47
v2099,1789
v2100,73
v2101,88
v2102,706
v2103,249
v2104,254
v2105,618
v2107,4161
v2108,125
v2109,853
v2111,95
v2112,437
v2113,230
v2116,183
v2117,1
v2119,79
v2121,87
v2122,216
v2123,2926
v2124,555
v2125,1704
v2128,3
v2131,50
v2132,193
