vid,title_ja,title_zh,c_votecount,c_rating,cnt,char_names
25884,同じクラスのアイドルさん。Around me is full by a celebrity.,,77,6.89,2,三嶋朱莉;悠木和心
26180,アイキス,,139,7.11,2,三枝アヤメ;三枝ヒナタ
27053,はぴねす！2 りらっくす,,31,6.76,2,桐ヶ谷璃乃;九重楓子
22746,姫と乙女のヤキモチＬＯＶＥ,,49,6.89,2,アリーゼ＝ヴィルエルド;天都沙良
22993,すくぅ～るメイト Sweets！,,6,6.03,2,柳瀬由芽;芹河命
23063,催眠ぱらだいす！ ～催眠術でツゴウノイイ美少女学園性活～,,66,6.75,2,五木蘭;六甲えりか
23281,ケモノ娘の育て方,兽娘的养成方法,786,6.86,2,桜庭いろは;加賀谷佳菜
23908,空に刻んだパラレログラム,,117,7.3,2,有佐里亜;紡木紅
24299,7年後で待ってる,我在七年之后等着你,62,7.09,2,AihanaAoi;FutaseKanna
24506,ココロネ=ペンデュラム！,,81,7.49,2,神代澄香;帯刀千早
22175,メルキス,,72,7.15,2,白嶋愛理;宮森ゆず
22303,見上げてごらん、夜空の星を Interstellar Focus,,193,7.73,2,箒星ひかり;天ノ川沙夜
30364,トラウマーメイド,,35,6.58,2,ヒナタ;ツバサ
31002,俺の恋天使がポンコツすぎてコワ～い。,我的恋天使太废柴了好可怕。,702,7.11,2,佐久真詩;乾依鈴
31359,ぶっかけ陰陽師絵巻 ～Hなお祓いいたします～,没落阴阳绘卷 - Tale of the fallen Onmyoji -,15,5.68,2,十葉月;妙鐘
28003,姫と乙女のヤキモチＬＯＶＥ-きらめき夏物語！-,,19,6.91,2,アリーゼ＝ヴィルエルド;天都沙良
28633,恋愛×ロワイアル,恋爱×决胜战,1231,6.93,2,小町乃々香;花丸まり
28640,きらきらスターズ ーidol project Nagisaー,爱的闪耀偶像企划 Nagisa,60,5.84,2,天音愛;雪城渚
28683,シンスメモリーズ 星天の下で,SINce Memories 星穹之下,53,6.78,2,伊勢陽詩;北條ちはや
28834,Honey*Honey*Honey!,,381,6.34,2,遠野つかさ;三峰みゆき
751,Rewrite,,7881,8.53,2,神戸小鳥;千里朱音
889,闘神都市II,,279,7.61,2,瑞原葉月;セレーナ・フレイズ
947,C.D.C.D.2 ～シーディーシーディー2～,,23,6.48,2,月島小恋;白河ななか
532,ぶらばん！,管乐恋曲！,148,6.82,2,中ノ島妙;御影須美
544,やるきばこ2 エピソードV：～やるきねこの逆襲～,,7,5.91,2,豊阿弥文子;天矢鮎乃
616,BIFRONTE～公界島奇譚～,,26,6.45,2,天谷桜;天谷若菜
628,はるかぜどりに、とまりぎを。,,38,7.03,2,桃谷春音;金田秋穂
701,夏空カナタ,夏空彼方,237,7.58,2,三好由比子;七条沙々羅
407,C.D. Christmas Days ～サーカスディスク クリスマスデイズ～,,19,6.44,2,白河ことり;名雲さえ
5256,Canvas4 アクロウムエチュード,,31,5.99,2,青桐ことの;立花珪
5286,your diary,,538,7.44,2,深菜川夕陽;広崎かなで
4124,ク・リトル・リトル  ～グレートハンティング～,,27,6.02,2,オーガスト;加藤兎子
4220,3LDK♥,,12,6.21,2,妹尾千寿;妹尾蓬
4400,すくーるヘブン　らぶえろハーレム☆ももいろタイフーン,,24,7.32,2,獅堂葵;南山檸檬
4921,てのひらを、たいようにAB,,7,6.2,2,佐倉穂;吉野美花
9641,瞳の烙淫2 ～絶対不可避の審媚眼～,,50,6.85,2,悠木さや;桜美園
9837,D.C.II ～ダ・カーポII～ 春風のアルティメットバトル!,,23,6.24,2,月島小恋;白河ななか
9996,波間の国のファウスト,,36,7.15,2,渚坂白亜;早乙女凪
8158,大図書館の羊飼い,大图书馆的牧羊人,2064,7.91,2,御園千莉;小太刀凪
8252,おねがいナイショにしてねSS,,99,6.16,2,理奈;藍原夕菜
8459,Memories Zero～蒼い光の約束～,,2,,2,綾瀬千佳子;多岐川乃亜
8462,僕は友達が少ない ぽーたぶる,,43,7.06,2,三日月夜空;柏崎星奈
8499,ゆきいろ　～空に六花の住む町～,,32,6.99,2,叶丸深雪;緑川翠子
7031,Promise Promenade～約束の並木道～,,4,,2,水瀬芹奈;渡会涼音
7068,SuGirly Wish,,87,7.17,2,姫百合愛;白咲ひな
7703,女ざかりは年下好み「本気のセックス教えてあ・げ・る」,,52,6.71,2,滝川香澄;天沼涼子
7766,いますぐお兄ちゃんに妹だっていいたい！,现在立刻就想对哥哥说我是妹妹,268,7.37,2,拝田希実花;奈々瀬奉莉
7958,リザイン,,35,6.88,2,橘麻里奈;月代さくら
8020,Rewrite Harvest festa!,,566,7.59,2,神戸小鳥;千里朱音
6590,アネイロ,,57,7.09,2,日比野薫子;樟木瑛菜
6747,未来ノスタルジア,未来乡愁,179,7.64,2,羽鳥詩;春日伊織
6780,パンドラのびっくり箱,,7,6.31,2,永源寺実紀;源陽詩美
7021,ラブライド・イヴ,,39,6.35,2,柚屋みゆ;梨月沙羅紗
7030,プリまじ アフターストーリーズ『迷える子羊といけにえの山羊』,,4,,2,御巫伊吹;和知百合
12480,大図書館の羊飼い -Dreaming Sheep-,大图书馆的牧羊人 Dreaming Sheep,332,7.73,2,御園千莉;小太刀凪
12481,つよきす NEXT,,141,7.71,2,対馬心秤;刃牙音子
12489,ぜったいマジラブ！ あまイチャはぷにんぐ！ ～姉妹×姉妹でドキエロ性活！きゅんメロパワーを収集せよ！～,,27,6.58,2,日向結菜;日向奈々
12595,黄雷のガクトゥーン：シャイニングナイト,,48,7.86,2,ジョセフィン・マーチ;エミリー・デュ・シャトレ
12600,大図書館の羊飼い ～放課後しっぽデイズ～,大图书馆的牧羊人 ～放学后的最后时光～,305,6.63,2,土岐のぞみ;藤宮朔夜
11071,美少女万華鏡 -忘れな草と永遠の少女-,美少女万华镜 -勿忘草与永远的少女-,689,7.21,2,沢渡雫;花里めぐみ
11204,ギャングスタ・リパブリカ,,68,6.77,2,水柿こおり;古雅ゆとり
11269,アマガミ ちょっとおまけ劇場,,30,7.25,2,桜井梨穂子;棚町薫
11493,すくぅ～るメイト,同校生,99,6.61,2,柳瀬由芽;芹河命
11569,運命予報をお知らせします,,67,7.09,2,篝火夏帆;橋姫観月
12172,星ノ音サンクチュアリ,,130,6.99,2,神領寺姫翠;葛城璃杏
10583,第二音楽室へようこそっ!!,,22,6.84,2,如月歌南;大河内紗耶香
10641,キスベル,,149,7.12,2,梶矢彩乃;月見若菜
11033,黄雷のガクトゥーン～What a shining braves～,,797,7.44,2,ジョセフィン・マーチ;エミリー・デュ・シャトレ
11068,テラべっぴん,,71,7.15,2,神楽京香;松平雪
10341,LOVELY QUEST,,146,7.13,2,桜庭水穂;瑚乃瀬羽美
10377,たんぽぽ～Everything Nice～,,5,6.75,2,琴宮くるみ;神楽坂のえる
10448,ＪＯＫＥＲ -死線の果ての道化師-,,70,6.14,2,神楽坂憩;小春日ひなげし
10464,優しい魔法の唱え方,,18,6.62,2,日次舞白;綾峯依吹
10576,恋しよっ？,,58,7.38,2,矢野綾;渡良瀬優美
14888,ヤキモチストリーム,醋意乱流,200,7.11,2,霧島沙那;伊吹恋羽
15078,らぶぽて学園 ～あなたの子種で孕みたい～,,53,6.46,2,栗山蓮華;栗山香里
15284,恋春アドレセンス,恋春Adolescence,72,7.23,2,浅羽千冬;結崎叶衣
14264,ゴールデンマリッジ,,223,7.34,2,一条寺透子;マリーカ・フォン・ヴィッテルスバッハ
14265,星織ユメミライ,星织梦未来,2603,8.06,2,逢坂そら;篠崎真里花
14266,ギャングスタ・アルカディア ～ヒッパルコスの天使～,,29,6.92,2,水柿こおり;古雅ゆとり
14269,Love Sweets,,407,6.65,2,一ノ瀬結衣;双見伊織
14325,剣聖機 アルファライド,,55,6.89,2,ティティス;クレセント
14676,サラサ☆ラディカル,,5,6.63,2,双葉美帆;飛鳥川桂
14761,ハーヴェストオーバーレイ,,128,7.69,2,三神リリア;奥野澄
13575,Dear My しすたあ,,1,,2,白樺遥;橋爪裕実
2671,airy[F]airy ~Easter of Sant' Ariccia~,,40,6.99,2,コレット・マレ;サラ・デュラン
2701,尾上さん家の悦楽生活,,16,6.59,2,尾上沙希;尾上璃沙
2747,FESTA!! -HYPER GIRLS POP-,,17,6.68,2,黒田七海;早坂恋水
2792,かげろう,,4,,2,水野早苗;風吹優
2833,お願いお星さま,,12,6.74,2,橘ひびき;倉橋真朋
2042,Alive,,9,6.38,2,高坂久遠;沢木祐里子
2342,あしたの雪之丞,,55,7.11,2,春日せりな;久保晶子
2356,フェイク,,7,5.91,2,如月那由;如月由真
2367,W.L.O. 世界恋愛機構 L.L.S. -LOVE LOVE SHOW-,,41,7.15,2,久坂愛奈;早川優梨子
2375,電激ストライカー,,1515,7.32,2,本郷はるな;ストライカー空
2517,クライミライ3,,22,6.1,2,閑谷紫苑;柵原棗
6113,初音のないしょ!!,,9,6.45,2,神岸あかり;長岡志保
6359,子作り妖怪H変化～乙女を犯す憑依合体～,,541,5.9,2,安倍飛鳥;葛木藍里
6427,SHUFFLE! Love Rainbow,,70,6.58,2,リシアンサス;芙蓉楓
